"","pathway1","pathway2","subtype"
"1256","hsa04913","hsa04912","map"
"1258","hsa01522","hsa04913","map"
"1260","hsa04915","hsa04913","map"
"1261","hsa04917","hsa04913","map"
"1262","hsa04114","hsa04914","map"
"1265","hsa04917","hsa04915","map"
"1269","hsa04919","hsa04918","map"
"1270","hsa03320","hsa04920","map"
"1271","hsa04152","hsa04920","map"
"1274","hsa04217","hsa04922","map"
"1276","hsa04371","hsa04923","map"
"1277","hsa04714","hsa04923","map"
"1285","hsa04141","hsa04930","map"
"1286","hsa04925","hsa04960","map"
"1287","hsa04927","hsa04960","map"
"1289","hsa04928","hsa04961","map"
"1295","hsa04973","hsa04970","map"
"1297","hsa04974","hsa04971","map"
"1298","hsa04024","hsa04972","map"
"1300","hsa04973","hsa04972","map"
"1301","hsa04974","hsa04972","map"
"1302","hsa04975","hsa04972","map"
"1306","hsa04978","hsa04973","map"
"1310","hsa04978","hsa04974","map"
"1311","hsa04725","hsa04975","map"
"1314","hsa04976","hsa04975","map"
"1315","hsa04977","hsa04975","map"
"1316","hsa04979","hsa04975","map"
"1317","hsa04024","hsa04976","map"
"1318","hsa04726","hsa04976","map"
"1321","hsa04977","hsa04976","map"
"1322","hsa04979","hsa04976","map"
"1323","hsa04972","hsa04977","map"
"1327","hsa04141","hsa05010","map"
"1328","hsa04310","hsa05010","map"
"1329","hsa04141","hsa05012","map"
"1330","hsa04728","hsa05012","map"
"1331","hsa04141","hsa05020","map"
"1332","hsa03430","hsa05210","map"
"1333","hsa04066","hsa05211","map"
"1334","hsa04611","hsa05211","map"
"1335","hsa04911","hsa05211","map"
"1336","hsa04012","hsa05212","map"
"1337","hsa04012","hsa05213","map"
"1338","hsa04012","hsa05214","map"
"1339","hsa04916","hsa05218","map"
"1340","hsa04012","hsa05223","map"
"1341","hsa04659","hsa05321","map"
"1342","hsa04659","hsa05323","map"
"1343","hsa04976","ko00121","map"
"1344","hsa04974","ko00280","map"
"1345","hsa04974","ko00350","map"
"1346","hsa04974","ko00380","map"
"1347","hsa04973","ko00620","map"
"1348","hsa04973","ko00640","map"
"1349","hsa04973","ko00650","map"
"1350","hsa04977","ko00730","map"
"1351","hsa04977","ko00740","map"
"1352","hsa04977","ko00750","map"
"1353","hsa04977","ko00760","map"
"1354","hsa04977","ko00770","map"
"1355","hsa04977","ko00780","map"
"1356","hsa04977","ko00790","map"
"1357","hsa04977","ko00830","map"
"1358","hsa00062","map00073","map"
"1359","hsa00120","map00121","map"
"1360","hsa00400","map00231","map"
"1361","hsa00471","map00251","map"
"1362","hsa00071","map00252","map"
"1363","hsa00250","map00261","map"
"1364","hsa00250","map00300","map"
"1365","hsa00260","map00300","map"
"1366","hsa00310","map00300","map"
"1367","hsa00620","map00300","map"
"1368","hsa00970","map00300","map"
"1369","hsa00310","map00311","map"
"1370","hsa00360","map00362","map"
"1372","hsa00380","map00362","map"
"1373","hsa00790","map00362","map"
"1374","hsa00400","map00402","map"
"1375","hsa00400","map00403","map"
"1376","hsa00900","map00403","map"
"1377","hsa00400","map00404","map"
"1378","hsa00250","map00460","map"
"1380","hsa00260","map00460","map"
"1381","hsa00410","map00460","map"
"1382","hsa00430","map00460","map"
"1383","hsa00471","map00460","map"
"1384","hsa00480","map00460","map"
"1385","hsa00910","map00460","map"
"1386","hsa00250","map00473","map"
"1387","hsa00510","map00513","map"
"1388","hsa00524","map00521","map"
"1389","hsa00280","map00522","map"
"1390","hsa00620","map00522","map"
"1391","hsa00520","map00523","map"
"1392","hsa00520","map00525","map"
"1393","hsa00250","map00530","map"
"1394","hsa00520","map00540","map"
"1395","hsa04620","map00540","map"
"1396","hsa00471","map00550","map"
"1397","hsa00520","map00550","map"
"1398","hsa04621","map00550","map"
"1399","hsa04625","map00571","map"
"1400","hsa00350","map00621","map"
"1401","hsa00380","map00627","map"
"1402","hsa00640","map00641","map"
"1403","hsa00360","map00643","map"
"1404","hsa00250","map00660","map"
"1405","hsa00640","map00660","map"
"1406","hsa00760","map00660","map"
"1407","hsa00260","map00680","map"
"1408","hsa00790","map00680","map"
"1409","hsa00910","map00680","map"
"1410","hsa00920","map00680","map"
"1412","hsa00010","map00710","map"
"1413","hsa00400","map00710","map"
"1414","hsa00630","map00710","map"
"1416","hsa00910","map00720","map"
"1417","hsa00920","map00720","map"
"1418","hsa00400","map00901","map"
"1419","hsa00900","map00902","map"
"1420","hsa00900","map00904","map"
"1421","hsa00100","map00905","map"
"1422","hsa00830","map00906","map"
"1423","hsa00900","map00906","map"
"1425","hsa00900","map00908","map"
"1426","hsa00900","map00909","map"
"1427","hsa00130","map00940","map"
"1428","hsa00350","map00940","map"
"1429","hsa00400","map00940","map"
"1431","hsa00350","map00950","map"
"1434","hsa00400","map00950","map"
"1435","hsa00330","map00960","map"
"1436","hsa00360","map00960","map"
"1437","hsa00400","map00960","map"
"1438","hsa00760","map00960","map"
"1439","hsa00780","map00960","map"
"1440","hsa00400","map00966","map"
"1441","hsa00100","map00984","map"
"1442","hsa00400","map01053","map"
"1443","hsa00280","map01056","map"
"1444","hsa00620","map01056","map"
"1445","hsa00650","map01056","map"
"1446","hsa00400","map01058","map"
"1447","hsa00400","map01059","map"
"1448","hsa00620","map01059","map"
"1449","hsa04620","map02040","map"
"1450","hsa04621","map03070","map"
"1451","hsa04392","map04011","map"
"1452","hsa04392","map04111","map"
"1453","hsa04213","map04212","map"
"1454","hsa04215","map04214","map"
"1455","hsa04392","map04391","map"
"1456","hsa00590","map07034","map"
