"","pathway1","pathway2","subtype"
"141","hsa00072","hsa00071","map"
"142","hsa00561","hsa00071","map"
"143","hsa00630","hsa00071","map"
"144","hsa03320","hsa00071","map"
"145","hsa04024","hsa00071","map"
"146","hsa04146","hsa00071","map"
"149","hsa00620","hsa00072","map"
"150","hsa00650","hsa00072","map"
"151","hsa03320","hsa00072","map"
"153","hsa00120","hsa00100","map"
"154","hsa00140","hsa00100","map"
"155","hsa00900","hsa00100","map"
"156","hsa04979","hsa00100","map"
"159","hsa03320","hsa00120","map"
"160","hsa04146","hsa00120","map"
"161","hsa04976","hsa00120","map"
"162","hsa04979","hsa00120","map"
"164","hsa00400","hsa00130","map"
"165","hsa00900","hsa00130","map"
"168","hsa04913","hsa00140","map"
"170","hsa04925","hsa00140","map"
"171","hsa04927","hsa00140","map"
"172","hsa04960","hsa00140","map"
"173","hsa00130","hsa00190","map"
"175","hsa04068","hsa00190","map"
"176","hsa04714","hsa00190","map"
"177","hsa04723","hsa00190","map"
"178","hsa04922","hsa00190","map"
"182","hsa00230","hsa00220","map"
"183","hsa00240","hsa00220","map"
"184","hsa00250","hsa00220","map"
"186","hsa00330","hsa00220","map"
"188","hsa00472","hsa00220","map"
"189","hsa00480","hsa00220","map"
"190","hsa00910","hsa00220","map"
"193","hsa00232","hsa00230","map"
"194","hsa00250","hsa00230","map"
"195","hsa00260","hsa00230","map"
"196","hsa00340","hsa00230","map"
"197","hsa00630","hsa00230","map"
"198","hsa00730","hsa00230","map"
"199","hsa00740","hsa00230","map"
"200","hsa00790","hsa00230","map"
"201","hsa04146","hsa00230","map"
"202","hsa04740","hsa00230","map"
"207","hsa00250","hsa00240","map"
"209","hsa00280","hsa00240","map"
"210","hsa00410","hsa00240","map"
"217","hsa00260","hsa00250","map"
"218","hsa00270","hsa00250","map"
"219","hsa00330","hsa00250","map"
"221","hsa00340","hsa00250","map"
"223","hsa00410","hsa00250","map"
"224","hsa00480","hsa00250","map"
"225","hsa00630","hsa00250","map"
"227","hsa00650","hsa00250","map"
"229","hsa00760","hsa00250","map"
"231","hsa00770","hsa00250","map"
"232","hsa00860","hsa00250","map"
"233","hsa00910","hsa00250","map"
"234","hsa00970","hsa00250","map"
"235","hsa04217","hsa00250","map"
"236","hsa04727","hsa00250","map"
"237","hsa04974","hsa00250","map"
"241","hsa00270","hsa00260","map"
"244","hsa00290","hsa00260","map"
"245","hsa00330","hsa00260","map"
"247","hsa00440","hsa00260","map"
"248","hsa00564","hsa00260","map"
"249","hsa00600","hsa00260","map"
"250","hsa00620","hsa00260","map"
"251","hsa00630","hsa00260","map"
"252","hsa00640","hsa00260","map"
"253","hsa00730","hsa00260","map"
"254","hsa00860","hsa00260","map"
"255","hsa00920","hsa00260","map"
"257","hsa00970","hsa00260","map"
"261","hsa00330","hsa00270","map"
"262","hsa00430","hsa00270","map"
"263","hsa00480","hsa00270","map"
"264","hsa00640","hsa00270","map"
"265","hsa00730","hsa00270","map"
"266","hsa00770","hsa00270","map"
"267","hsa00920","hsa00270","map"
"269","hsa00970","hsa00270","map"
"270","hsa04122","hsa00270","map"
"275","hsa00290","hsa00280","map"
"276","hsa00360","hsa00280","map"
"277","hsa00640","hsa00280","map"
"280","hsa00270","hsa00290","map"
"283","hsa00620","hsa00290","map"
"285","hsa00970","hsa00290","map"
"287","hsa00330","hsa00310","map"
"288","hsa00780","hsa00310","map"
"294","hsa00410","hsa00330","map"
"295","hsa00650","hsa00330","map"
"296","hsa00970","hsa00330","map"
"302","hsa00970","hsa00340","map"
"305","hsa00360","hsa00350","map"
"306","hsa00400","hsa00350","map"
"307","hsa04728","hsa00350","map"
"308","hsa04916","hsa00350","map"
"309","hsa04918","hsa00350","map"
"312","hsa00400","hsa00360","map"
"314","hsa00400","hsa00380","map"
"315","hsa00760","hsa00380","map"
"316","hsa00970","hsa00380","map"
"317","hsa04726","hsa00380","map"
"324","hsa00730","hsa00400","map"
"325","hsa00790","hsa00400","map"
"326","hsa00970","hsa00400","map"
"332","hsa00640","hsa00410","map"
"333","hsa00770","hsa00410","map"
"337","hsa00480","hsa00430","map"
"341","hsa00250","hsa00471","map"
"343","hsa00520","hsa00471","map"
"348","hsa00330","hsa00480","map"
"351","hsa04216","hsa00480","map"
"352","hsa04918","hsa00480","map"
"354","hsa00040","hsa00500","map"
"356","hsa00520","hsa00500","map"
"359","hsa04152","hsa00500","map"
"360","hsa04910","hsa00500","map"
"363","hsa00511","hsa00510","map"
"364","hsa00515","hsa00510","map"
"365","hsa00520","hsa00510","map"
"366","hsa00533","hsa00510","map"
"367","hsa00563","hsa00510","map"
"368","hsa00900","hsa00510","map"
"369","hsa04141","hsa00510","map"
"372","hsa04142","hsa00511","map"
"374","hsa00533","hsa00512","map"
"389","hsa00524","hsa00520","map"
"394","hsa00532","hsa00531","map"
"395","hsa00534","hsa00531","map"
"396","hsa04142","hsa00531","map"
"399","hsa00534","hsa00532","map"
"402","hsa00531","hsa00533","map"
"407","hsa00040","hsa00561","map"
"408","hsa00061","hsa00561","map"
"411","hsa00564","hsa00561","map"
"412","hsa04072","hsa00561","map"
"413","hsa04150","hsa00561","map"
"414","hsa04923","hsa00561","map"
"416","hsa04975","hsa00561","map"
"419","hsa00564","hsa00562","map"
"422","hsa00564","hsa00563","map"
"423","hsa00061","hsa00564","map"
"429","hsa00565","hsa00564","map"
"430","hsa03320","hsa00564","map"
"431","hsa04146","hsa00564","map"
"432","hsa04725","hsa00564","map"
"435","hsa04146","hsa00565","map"
"437","hsa00591","hsa00590","map"
"438","hsa04270","hsa00590","map"
"439","hsa04370","hsa00590","map"
"440","hsa04611","hsa00590","map"
